ID,Loan_Amount,Grade,Interest_Rate,Default_Prob
140282405,35000,A,0.0784,0.185946554510173
138032938,28000,A,0.0784,0.185959739458793
140842554,22500,A,0.0784,0.185974494313588
140014098,21000,A,0.0784,0.185982324967459
140170714,40000,A,0.0784,0.18598594666298
140922620,21000,A,0.0784,0.186023767627286
140202112,30000,A,0.0784,0.186024451290912
139846936,25000,A,0.0784,0.186042500092646
140772654,33000,A,0.0784,0.18605103905492
139653324,22000,A,0.0784,0.186060225767251
140651602,30000,A,0.0784,0.186081105945911
139321964,35000,A,0.0784,0.186086233638533
139692134,40000,A,0.0784,0.186159431421453
139944442,30000,A,0.0784,0.186167056626704
140608573,21000,A,0.0784,0.186185143250089
139796260,30000,A,0.0784,0.186193704819538
140246051,23000,A,0.0784,0.186213340379755
140744412,22000,A,0.0784,0.186254339994225
139692079,25000,A,0.0784,0.186274282425905
140633678,25000,A,0.0784,0.186278178926933
141000023,26000,A,0.0784,0.186281344608418
139645025,29950,A,0.0784,0.186295497889926
139667402,25000,A,0.0784,0.186301268433488
139679832,24000,A,0.0784,0.186303520950734
140640576,35000,A,0.0784,0.186321915819548
140605698,32000,A,0.0784,0.186358359067767
139489301,25000,A,0.0784,0.18638155399437
140193884,36000,A,0.0784,0.186391497685719
140223457,40000,A,0.0784,0.186393998321652
139058932,25000,A,0.0784,0.186403616623118
140559916,21600,A,0.0784,0.18640395606712
140120542,35000,A,0.0784,0.186408494819464
140865438,24000,A,0.0784,0.186414460234355
140479033,25000,A,0.0784,0.186418118373728
140462464,40000,A,0.0784,0.186463727657204
141013725,35000,A,0.0784,0.186489332654851
141075795,22000,A,0.0784,0.186490927447107
139485887,38400,A,0.0784,0.186491441768645
140962117,36000,A,0.0784,0.186493340736754
139753026,35000,A,0.0784,0.186496290622311
139073991,23000,A,0.0784,0.186520444708551
140430761,25000,A,0.0784,0.186590317251009
140901534,25600,A,0.0784,0.186611489652911
139663981,22400,A,0.0784,0.186630207605408
139791532,24000,A,0.0784,0.186640155861485
140018724,40000,A,0.0784,0.186645626403846
139706089,25000,A,0.0784,0.186659916718964
139856776,24125,A,0.0784,0.186685980432882
140367902,24000,A,0.0784,0.186689926376979
139655706,26000,A,0.0784,0.18675156341171
139691373,25600,A,0.0784,0.186759835318323
140774258,35000,A,0.0784,0.186760071494038
140371102,24950,A,0.0784,0.18677340719557
139831728,23000,A,0.0784,0.186780101796799
140644434,23875,A,0.0784,0.18678623102216
139600388,35000,A,0.0784,0.186809887599081
139619114,27000,A,0.0784,0.186819010654524
140402566,23900,A,0.0784,0.186845689984083
139718436,35000,A,0.0784,0.186856985451538
139676456,30000,A,0.0784,0.186859058817187
140727355,27500,A,0.0784,0.186886077206115
139144330,25000,A,0.0784,0.186894194191047
139688270,25000,A,0.0784,0.186914320435865
140323691,35000,A,0.0784,0.186916009222483
137962038,28000,A,0.0784,0.186919901506849
139996306,25000,A,0.0784,0.186957347155996
139849876,26000,A,0.0784,0.186992390830283
141043137,32000,A,0.0784,0.187002049989488
140886584,40000,A,0.0784,0.187002064587491
139873525,25000,A,0.0784,0.187009728088395
140834518,24000,A,0.0784,0.187044218761733
140736181,24000,A,0.0784,0.187114954982698
140155146,24000,A,0.0784,0.187119032734811
140062465,30000,A,0.0784,0.187131450249374
139974872,31000,A,0.0784,0.18713361785813
139891836,35000,A,0.0784,0.187148504771369
140645244,25000,A,0.0784,0.187156953036389
139759180,40000,A,0.0784,0.187172834876141
140857972,30000,A,0.0784,0.187175278291641
140684858,24000,A,0.0784,0.187203452662899
139344337,30000,A,0.0784,0.187217779337476
140877997,25000,A,0.0784,0.187232777940151
140496052,25000,A,0.0784,0.187235850659816
140567835,25000,A,0.0784,0.187288155360897
139730913,25000,A,0.0784,0.187292462293932
139443373,30000,A,0.0784,0.187299931843449
140440981,30000,A,0.0784,0.187316064096714
139941521,25000,A,0.0784,0.187424135633975
140659374,40000,A,0.0784,0.187441505397723
139294788,25000,A,0.0784,0.187442511773879
139841705,40000,A,0.0784,0.18744453240302
139978327,28000,A,0.0784,0.187448305446169
140903277,40000,A,0.0784,0.187456118502092
140669948,25000,A,0.0784,0.18749303616122
140388274,40000,A,0.0784,0.187493697347878
139959463,36000,A,0.0784,0.187498922263364
140219328,30000,A,0.0784,0.187547437890181
137836775,40000,A,0.0784,0.187583582106331
139647854,30000,A,0.0784,0.187594378661635
140350508,30000,A,0.0784,0.187597164464343
138988776,40000,A,0.0784,0.187608937016353
140385135,35000,A,0.0784,0.187613826860637
140842248,40000,A,0.0784,0.187638336818302
139238062,40000,A,0.0784,0.187666603119895
139848082,40000,A,0.0784,0.187675805217921
141056698,27000,A,0.0784,0.187711095190493
140215530,40000,A,0.0784,0.187738983033411
140429201,40000,A,0.0784,0.187887643932187
140839809,28000,A,0.0784,0.187935806441788
140849054,30000,A,0.0784,0.188030836891094
139796857,27000,A,0.0784,0.188046793253493
139337889,35000,A,0.0784,0.188075570240337
139996041,27000,A,0.0784,0.188077318823388
140103403,40000,A,0.0784,0.188084172092175
140103129,30000,A,0.0784,0.188160253272789
139654170,32000,A,0.0784,0.188212736867983
139874589,30000,A,0.0784,0.188272431503334
139962448,30000,A,0.0784,0.188284696793156
140560026,40000,A,0.0784,0.188309022394446
139412205,30000,A,0.0784,0.188315298813334
139412791,30000,A,0.0784,0.188318531802301
140804244,30000,A,0.0784,0.188335757539189
138199232,40000,A,0.0784,0.188339510995766
140950012,40000,A,0.0784,0.188374677356167
139353592,32000,A,0.0784,0.188422576484555
139620462,34000,A,0.0784,0.188454573928552
140384828,35000,A,0.0784,0.188483705018839
140250568,30000,A,0.0784,0.188559332171815
140970975,35000,A,0.0784,0.188590520729832
141013156,40000,A,0.0784,0.18877850878852
139437213,30000,A,0.0784,0.188802341007853
139608575,31200,A,0.0784,0.188803721338286
140080755,40000,A,0.0784,0.188803868331074
139023805,35000,A,0.0784,0.188812715892342
140744468,32000,A,0.0784,0.188861903759835
140168855,33000,A,0.0784,0.188879747146539
139645403,35000,A,0.0784,0.188991139800813
140540933,32000,A,0.0784,0.188997758720809
139534434,33000,A,0.0784,0.18902209430613
139705088,35000,A,0.0784,0.189054271220125
139958857,36000,A,0.0784,0.189294111115157
140399752,40000,A,0.0784,0.189326024122299
140561635,36000,A,0.0784,0.189348901172207
139945312,37000,A,0.0784,0.189500883549686
139648416,35000,A,0.0784,0.189646702823347
139495890,40000,A,0.0784,0.189794517946826
139700088,40000,A,0.0784,0.189979884521542
140847227,40000,A,0.08460000000000001,0.200254154453886
139730149,35000,A,0.08460000000000001,0.200337696290512
140004574,40000,A,0.08460000000000001,0.200720647088867
139824140,40000,A,0.08460000000000001,0.201928537084863
